,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,AgeImputed,EmbarkedImputed,CabinImputed,male,Embarked_C,Embarked_Q,Embarked_S,Embarked_missing,Embarked_nan,Cabin_number,Cabin_letter_C,Cabin_letter_Q,Cabin_letter_S,Cabin_letter_m,Cabin_letter_nan
0,1,0,3,22.0,1,0,7.25,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
1,2,1,1,38.0,1,0,71.2833,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
2,3,1,3,26.0,0,0,7.925,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
3,4,1,1,35.0,1,0,53.1,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
4,5,0,3,35.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
5,6,0,3,28.0,0,0,8.4583,True,False,True,True,0,1,0,0,0,,0,1,0,0,0
6,7,0,1,54.0,0,0,51.8625,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
7,8,0,3,2.0,3,1,21.075,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
8,9,1,3,27.0,0,2,11.1333,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
9,10,1,2,14.0,1,0,30.0708,False,False,True,False,1,0,0,0,0,,1,0,0,0,0
10,11,1,3,4.0,1,1,16.7,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
11,12,1,1,58.0,0,0,26.55,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
12,13,0,3,20.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
13,14,0,3,39.0,1,5,31.275,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
14,15,0,3,14.0,0,0,7.8542,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
15,16,1,2,55.0,0,0,16.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
16,17,0,3,2.0,4,1,29.125,False,False,True,True,0,1,0,0,0,,0,1,0,0,0
17,18,1,2,28.0,0,0,13.0,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
18,19,0,3,31.0,1,0,18.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
19,20,1,3,28.0,0,0,7.225,True,False,True,False,1,0,0,0,0,,1,0,0,0,0
20,21,0,2,35.0,0,0,26.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
21,22,1,2,34.0,0,0,13.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
22,23,1,3,15.0,0,0,8.0292,False,False,True,False,0,1,0,0,0,,0,1,0,0,0
23,24,1,1,28.0,0,0,35.5,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
24,25,0,3,8.0,3,1,21.075,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
25,26,1,3,38.0,1,5,31.3875,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
26,27,0,3,28.0,0,0,7.225,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
27,28,0,1,19.0,3,2,263.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
28,29,1,3,28.0,0,0,7.8792,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
29,30,0,3,28.0,0,0,7.8958,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
30,31,0,1,40.0,0,0,27.7208,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
31,32,1,1,28.0,1,0,146.5208,True,False,False,False,1,0,0,0,0,,1,0,0,0,0
32,33,1,3,28.0,0,0,7.75,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
33,34,0,2,66.0,0,0,10.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
34,35,0,1,28.0,1,0,82.1708,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
35,36,0,1,42.0,1,0,52.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
36,37,1,3,28.0,0,0,7.2292,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
37,38,0,3,21.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
38,39,0,3,18.0,2,0,18.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
39,40,1,3,14.0,1,0,11.2417,False,False,True,False,1,0,0,0,0,,1,0,0,0,0
40,41,0,3,40.0,1,0,9.475,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
41,42,0,2,27.0,1,0,21.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
42,43,0,3,28.0,0,0,7.8958,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
43,44,1,2,3.0,1,2,41.5792,False,False,True,False,1,0,0,0,0,,1,0,0,0,0
44,45,1,3,19.0,0,0,7.8792,False,False,True,False,0,1,0,0,0,,0,1,0,0,0
45,46,0,3,28.0,0,0,8.05,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
46,47,0,3,28.0,1,0,15.5,True,False,True,True,0,1,0,0,0,,0,1,0,0,0
47,48,1,3,28.0,0,0,7.75,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
48,49,0,3,28.0,2,0,21.6792,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
49,50,0,3,18.0,1,0,17.8,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
50,51,0,3,7.0,4,1,39.6875,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
51,52,0,3,21.0,0,0,7.8,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
52,53,1,1,49.0,1,0,76.7292,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
53,54,1,2,29.0,1,0,26.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
54,55,0,1,65.0,0,1,61.9792,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
55,56,1,1,28.0,0,0,35.5,True,False,False,True,0,0,1,0,0,,0,0,1,0,0
56,57,1,2,21.0,0,0,10.5,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
57,58,0,3,28.5,0,0,7.2292,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
58,59,1,2,5.0,1,2,27.75,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
59,60,0,3,11.0,5,2,46.9,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
60,61,0,3,22.0,0,0,7.2292,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
61,62,1,1,38.0,0,0,80.0,False,True,False,False,0,0,0,1,0,,0,0,0,1,0
62,63,0,1,45.0,1,0,83.475,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
63,64,0,3,4.0,3,2,27.9,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
64,65,0,1,28.0,0,0,27.7208,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
65,66,1,3,28.0,1,1,15.2458,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
66,67,1,2,29.0,0,0,10.5,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
67,68,0,3,19.0,0,0,8.1583,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
68,69,1,3,17.0,4,2,7.925,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
69,70,0,3,26.0,2,0,8.6625,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
70,71,0,2,32.0,0,0,10.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
71,72,0,3,16.0,5,2,46.9,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
72,73,0,2,21.0,0,0,73.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
73,74,0,3,26.0,1,0,14.4542,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
74,75,1,3,32.0,0,0,56.4958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
75,76,0,3,25.0,0,0,7.65,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
76,77,0,3,28.0,0,0,7.8958,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
77,78,0,3,28.0,0,0,8.05,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
78,79,1,2,0.83,0,2,29.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
79,80,1,3,30.0,0,0,12.475,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
80,81,0,3,22.0,0,0,9.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
81,82,1,3,29.0,0,0,9.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
82,83,1,3,28.0,0,0,7.7875,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
83,84,0,1,28.0,0,0,47.1,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
84,85,1,2,17.0,0,0,10.5,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
85,86,1,3,33.0,3,0,15.85,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
86,87,0,3,16.0,1,3,34.375,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
87,88,0,3,28.0,0,0,8.05,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
88,89,1,1,23.0,3,2,263.0,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
89,90,0,3,24.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
90,91,0,3,29.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
91,92,0,3,20.0,0,0,7.8542,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
92,93,0,1,46.0,1,0,61.175,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
93,94,0,3,26.0,1,2,20.575,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
94,95,0,3,59.0,0,0,7.25,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
95,96,0,3,28.0,0,0,8.05,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
96,97,0,1,71.0,0,0,34.6542,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
97,98,1,1,23.0,0,1,63.3583,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
98,99,1,2,34.0,0,1,23.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
99,100,0,2,34.0,1,0,26.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
100,101,0,3,28.0,0,0,7.8958,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
101,102,0,3,28.0,0,0,7.8958,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
102,103,0,1,21.0,0,1,77.2875,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
103,104,0,3,33.0,0,0,8.6542,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
104,105,0,3,37.0,2,0,7.925,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
105,106,0,3,28.0,0,0,7.8958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
106,107,1,3,21.0,0,0,7.65,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
107,108,1,3,28.0,0,0,7.775,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
108,109,0,3,38.0,0,0,7.8958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
109,110,1,3,28.0,1,0,24.15,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
110,111,0,1,47.0,0,0,52.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
111,112,0,3,14.5,1,0,14.4542,False,False,True,False,1,0,0,0,0,,1,0,0,0,0
112,113,0,3,22.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
113,114,0,3,20.0,1,0,9.825,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
114,115,0,3,17.0,0,0,14.4583,False,False,True,False,1,0,0,0,0,,1,0,0,0,0
115,116,0,3,21.0,0,0,7.925,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
116,117,0,3,70.5,0,0,7.75,False,False,True,True,0,1,0,0,0,,0,1,0,0,0
117,118,0,2,29.0,1,0,21.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
118,119,0,1,24.0,0,1,247.5208,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
119,120,0,3,2.0,4,2,31.275,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
120,121,0,2,21.0,2,0,73.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
121,122,0,3,28.0,0,0,8.05,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
122,123,0,2,32.5,1,0,30.0708,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
123,124,1,2,32.5,0,0,13.0,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
124,125,0,1,54.0,0,1,77.2875,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
125,126,1,3,12.0,1,0,11.2417,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
126,127,0,3,28.0,0,0,7.75,True,False,True,True,0,1,0,0,0,,0,1,0,0,0
127,128,1,3,24.0,0,0,7.1417,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
128,129,1,3,28.0,1,1,22.3583,True,False,False,False,1,0,0,0,0,,1,0,0,0,0
129,130,0,3,45.0,0,0,6.975,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
130,131,0,3,33.0,0,0,7.8958,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
131,132,0,3,20.0,0,0,7.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
132,133,0,3,47.0,1,0,14.5,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
133,134,1,2,29.0,1,0,26.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
134,135,0,2,25.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
135,136,0,2,23.0,0,0,15.0458,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
136,137,1,1,19.0,0,2,26.2833,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
137,138,0,1,37.0,1,0,53.1,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
138,139,0,3,16.0,0,0,9.2167,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
139,140,0,1,24.0,0,0,79.2,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
140,141,0,3,28.0,0,2,15.2458,True,False,True,False,1,0,0,0,0,,1,0,0,0,0
141,142,1,3,22.0,0,0,7.75,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
142,143,1,3,24.0,1,0,15.85,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
143,144,0,3,19.0,0,0,6.75,False,False,True,True,0,1,0,0,0,,0,1,0,0,0
144,145,0,2,18.0,0,0,11.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
145,146,0,2,19.0,1,1,36.75,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
146,147,1,3,27.0,0,0,7.7958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
147,148,0,3,9.0,2,2,34.375,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
148,149,0,2,36.5,0,2,26.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
149,150,0,2,42.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
150,151,0,2,51.0,0,0,12.525,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
151,152,1,1,22.0,1,0,66.6,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
152,153,0,3,55.5,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
153,154,0,3,40.5,0,2,14.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
154,155,0,3,28.0,0,0,7.3125,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
155,156,0,1,51.0,0,1,61.3792,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
156,157,1,3,16.0,0,0,7.7333,False,False,True,False,0,1,0,0,0,,0,1,0,0,0
157,158,0,3,30.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
158,159,0,3,28.0,0,0,8.6625,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
159,160,0,3,28.0,8,2,69.55,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
160,161,0,3,44.0,0,1,16.1,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
161,162,1,2,40.0,0,0,15.75,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
162,163,0,3,26.0,0,0,7.775,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
163,164,0,3,17.0,0,0,8.6625,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
164,165,0,3,1.0,4,1,39.6875,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
165,166,1,3,9.0,0,2,20.525,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
166,167,1,1,28.0,0,1,55.0,True,False,False,False,0,0,1,0,0,,0,0,1,0,0
167,168,0,3,45.0,1,4,27.9,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
168,169,0,1,28.0,0,0,25.925,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
169,170,0,3,28.0,0,0,56.4958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
170,171,0,1,61.0,0,0,33.5,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
171,172,0,3,4.0,4,1,29.125,False,False,True,True,0,1,0,0,0,,0,1,0,0,0
172,173,1,3,1.0,1,1,11.1333,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
173,174,0,3,21.0,0,0,7.925,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
174,175,0,1,56.0,0,0,30.6958,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
175,176,0,3,18.0,1,1,7.8542,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
176,177,0,3,28.0,3,1,25.4667,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
177,178,0,1,50.0,0,0,28.7125,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
178,179,0,2,30.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
179,180,0,3,36.0,0,0,0.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
180,181,0,3,28.0,8,2,69.55,True,False,True,False,0,0,1,0,0,,0,0,1,0,0
181,182,0,2,28.0,0,0,15.05,True,False,True,True,1,0,0,0,0,,1,0,0,0,0
182,183,0,3,9.0,4,2,31.3875,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
183,184,1,2,1.0,2,1,39.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
184,185,1,3,4.0,0,2,22.025,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
185,186,0,1,28.0,0,0,50.0,True,False,False,True,0,0,1,0,0,,0,0,1,0,0
186,187,1,3,28.0,1,0,15.5,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
187,188,1,1,45.0,0,0,26.55,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
188,189,0,3,40.0,1,1,15.5,False,False,True,True,0,1,0,0,0,,0,1,0,0,0
189,190,0,3,36.0,0,0,7.8958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
190,191,1,2,32.0,0,0,13.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
191,192,0,2,19.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
192,193,1,3,19.0,1,0,7.8542,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
193,194,1,2,3.0,1,1,26.0,False,False,False,True,0,0,1,0,0,,0,0,1,0,0
194,195,1,1,44.0,0,0,27.7208,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
195,196,1,1,58.0,0,0,146.5208,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
196,197,0,3,28.0,0,0,7.75,True,False,True,True,0,1,0,0,0,,0,1,0,0,0
197,198,0,3,42.0,0,1,8.4042,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
198,199,1,3,28.0,0,0,7.75,True,False,True,False,0,1,0,0,0,,0,1,0,0,0
199,200,0,2,24.0,0,0,13.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
200,201,0,3,28.0,0,0,9.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
201,202,0,3,28.0,8,2,69.55,True,False,True,True,0,0,1,0,0,,0,0,1,0,0
202,203,0,3,34.0,0,0,6.4958,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
203,204,0,3,45.5,0,0,7.225,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
204,205,1,3,18.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
205,206,0,3,2.0,0,1,10.4625,False,False,False,False,0,0,1,0,0,,0,0,1,0,0
206,207,0,3,32.0,1,0,15.85,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
207,208,1,3,26.0,0,0,18.7875,False,False,True,True,1,0,0,0,0,,1,0,0,0,0
208,209,1,3,16.0,0,0,7.75,False,False,True,False,0,1,0,0,0,,0,1,0,0,0
209,210,1,1,40.0,0,0,31.0,False,False,False,True,1,0,0,0,0,,1,0,0,0,0
210,211,0,3,24.0,0,0,7.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
211,212,1,2,35.0,0,0,21.0,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
212,213,0,3,22.0,0,0,7.25,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
213,214,0,2,30.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
214,215,0,3,28.0,1,0,7.75,True,False,True,True,0,1,0,0,0,,0,1,0,0,0
215,216,1,1,31.0,1,0,113.275,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
216,217,1,3,27.0,0,0,7.925,False,False,True,False,0,0,1,0,0,,0,0,1,0,0
217,218,0,2,42.0,1,0,27.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
218,219,1,1,32.0,0,0,76.2917,False,False,False,False,1,0,0,0,0,,1,0,0,0,0
219,220,0,2,30.0,0,0,10.5,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
220,221,1,3,16.0,0,0,8.05,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
221,222,0,2,27.0,0,0,13.0,False,False,True,True,0,0,1,0,0,,0,0,1,0,0
